feature,importance
num__num_pages,0.19893702444682954
num__ratings_count,0.15751936445727546
genre__genre_contemporary,0.1307786029989394
num__text_reviews_count,0.11548696826400362
num__publication_year,0.1096730435115191
num__sentiment_compound,0.10746098771903435
genre__genre_novels,0.057336077875350014
genre__genre_thriller,0.024248791602031878
genre__genre_fantasy,0.022610438996246478
genre__genre_fiction,0.01739180880707826
genre__genre_literature,0.016365999245804102
genre__genre_mystery,0.013476664620551164
genre__genre_romance,0.010921692747784381
genre__genre_science_fiction,0.0046768314590712725
genre__genre_historical_fiction,0.004407543919277855
genre__genre_classics,0.004302488326561862
genre__genre_nonfiction,0.001855134738497564
genre__genre_young_adult,0.0012011009992007554
genre__genre_science_fiction_fantasy,0.0010218257815296937
genre__genre_historical,0.00032760948341327477
